ID|REDUMP_NAME
SLUS-01079|Army Men - World War (USA)
SLUS-01327|Army Men - World War - Final Front (USA)
SLUS-01203|Army Men - World War - Land, Sea, Air (USA)
SLUS-01435|Army Men - World War - Team Assault (USA)
SLES-02378|Army Men 3D (Europe) (En,Fr,De)
SLUS-00491|Army Men 3D (USA)
SLPS-02405|Art Camion - Geijutsuden (Japan)
SLPS-02710|Art Camion - Sugorokuden (Japan)
SLPM-80144|Artdink Preview (Japan)
SLPS-00363|Arthur to Astaroth no Nazo Makaimura - Incredible Toons (Japan)
SLUS-01090|Arthur! Ready to Race (USA)
SLUS-90027|Asciiware Training CD (USA)
SLPS-03540|Asonde AIUEO (Japan)
SLPS-03542|Asonde Chinou Up (Japan)
SLES-01244|Assault (Europe) (En,Fr,De,Es,It)
SLUS-00713|Assault - Retribution (USA)
SLES-00093|Assault Rigs (Europe)
SLPS-00512|Assault Rigs (Japan)
SCUS-94405|Assault Rigs (USA)
SLPM-86872|Assault Suits Valken 2 (Japan)
